Description,Instances,utilization,disk,memory,Cores
1,6core.c5.2xlarge,3,80,176,16,6
2,8core.c4.2xlarge,11,100,605,16,8
3,10core.c5.2xlarge,2,80,327,16,10
4,12core.c5.2xlarge,4,80,262,16,12
5,16core.c5.2xlarge,2,80,252,16,16
6,1core.c5.large,1,80,62,1,1
7,2core.c5.large,21,80,200,4,2
8,4core.c5.large,53,80,600,4,4
9,6core.c5.large,1,80,365,4,6
10,12core.c5.large,1,80,119,8,12
11,16core.c5.large,2,80,150,8,16
12,2core.c5.xlarge,1,80,229,8,2
13,4core.c5.xlarge,66,80,352,8,4
14,6core.c5.xlarge,2,80,193,10,6
15,2core.r4.large,2,80,277,16,2
16,4core.r4.large,30,80,355,30,4
17,6core.r4.large,2,80,223,16,6
18,4core.r4.xlarge,6,80,6778,30,4
19,8core.t2.2xlarge,3,80,259,32,8
20,1core.t2.large,3,80,256,8,1
21,2core.t2.large,80,80,223,8,2
22,1core.t2.medium,14,80,444,4,1
23,2core.t2.medium,194,80,122,4,2
24,8core.t2.medium,3,80,382,16,8
25,1core.t2.small,10,80,40,4,1
26,2core.t2.small,1,80,249,4,2
1,2coredb.m4.2xlarge,1,80,1000,32,2
2,4coredb.m4.2xlarge,10,80,1026,64,4
3,6coredb.m4.2xlarge,2,80,2965,12,6
4,8coredb.m4.2xlarge,11,80,1687,32,8
5,8coredb.m4.4xlarge,2,80,2765,65,8
6,12coredb.m4.4xlarge,3,80,2247,32,12
7,16coredb.m4.4xlarge,1,80,1890,32,16
8,4coredb.m4.xlarge,11,80,1578,20,4
9,8coredb.r3.2xlarge,8,80,1754,46,8
10,8coredb.r3.4xlarge,1,80,2900,128,8
11,4coredb.r3.xlarge,4,80,1343,42,4
12,6coredb.r3.xlarge,1,80,1390,44,6
13,2coredb.t2.xlarge,2,80,110,6,2
